review,rating,date,bank,source
"Great app for mobile banking. Easy to use and secure. I can check my balance and transfer money quickly.",5,2024-11-15,Commercial Bank of Ethiopia,google_play
"The app keeps crashing when I try to transfer money. Very frustrating experience. Needs urgent fix.",2,2024-11-14,Bank of Abyssinia,google_play
"Good features but needs better UI design. The interface is a bit confusing. Overall satisfied with the service.",4,2024-11-13,Dashen Bank,google_play
"Excellent customer service and fast transactions. Highly recommend to everyone! Best banking app in Ethiopia.",5,2024-11-12,Commercial Bank of Ethiopia,google_play
"App is slow and sometimes doesn't load. Needs improvement in performance and stability.",3,2024-11-11,Bank of Abyssinia,google_play
"Love the new update! Fingerprint login is very convenient. Makes banking so much easier.",5,2024-11-10,Dashen Bank,google_play
"Cannot login after the latest update. This is unacceptable. Please fix this issue immediately.",1,2024-11-09,Commercial Bank of Ethiopia,google_play
"Decent app but transaction fees are too high. Would be better if they reduced the charges.",3,2024-11-08,Bank of Abyssinia,google_play
"Very reliable and secure. I've been using it for months without any problems. Highly satisfied.",5,2024-11-07,Dashen Bank,google_play
"The app interface needs modernization. Looks outdated compared to other banking apps.",3,2024-11-06,Commercial Bank of Ethiopia,google_play
